_id_x,PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,Neighborhood,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y,_id_y,Id,Estimate; Total,Margin of Error; Total
3154935,322752199,23159014,14,2023-10-06T11:22:00,"6500 Block Shetland St Pittsburgh, PA 15206",N,Larimer,5,CRIM MISCHIEF,3304 Criminal Mischief.,1204.0,9.0,2.0,-79.90916942393241,40.46345045912467,45,45,1641.0,322.952008819
3155127,-3533165058,23160199,0,2023-10-08T10:37:00,"Paulson Ave & Polk Way Pittsburgh, PA 15206",N,Larimer,5,99,1785 Proof of Financial Responsibility Following Accident.,1208.0,9.0,2.0,-79.9134364138843,40.46260086102261,45,45,1641.0,322.952008819
3155217,323518191,23165301,18,2023-10-18T02:26:00,"Turrett St & Meadow St Pittsburgh, PA 15206",Y,Larimer,5,STOLEN PROPERTY,13(a)(31) Marijuana: Possession Small Amount / 607.07 Carrying Fascimiles of Firearms Prohibited,1204.0,9.0,2.0,-79.91043041367134,40.46162740343148,45,45,1641.0,322.952008819
3155243,323297753,23162930,0,2023-10-13T16:35:00,"Paulson Ave & Carver St Pittsburgh, PA 15206",Y,Larimer,5,99,3308 One-Way Roadways and Rotary Traffic Islands.,1208.0,9.0,2.0,-79.91306584203981,40.46284393484794,45,45,1641.0,322.952008819
3155248,322967407,23160846,99,2023-10-10T09:48:00,"600 Block Lenora St Pittsburgh, PA 15206",N,Larimer,5,DRUG INVESTIGATION,9124 Drug Investigation,1204.0,9.0,2.0,-79.91290062620944,40.46730838597868,45,45,1641.0,322.952008819
3155257,323517171,23162349,27,2023-10-12T17:20:00,"6400 Block Penn Ave Pittsburgh, PA 15206",N,Larimer,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1208.0,9.0,2.0,-79.91743506731456,40.45751349471281,45,45,1641.0,322.952008819
3155535,324693042,23175213,9,2023-11-04T00:49:00,"6600 Block Frankstown Ave Pittsburgh, PA 15206",Y,Larimer,5,TAMPER WITH/FAB PHYS EVIDENCE,"4910 Tampering with or Fabricating Physical Evidence. / 5104 Resisting Arrest or Other Law Enforcement. / 4106 Access Device Fraud / 6106 Firearms not to be Carried without a License. / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(31) Marijuana: Possession Small Amount / 9501 Bench Warrant / 6110.2 Possesion of Firearm with Altered Mfg. Number / 6110.1 Possesion of Firearm by Minor / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 3543 Pedestrians Crossing at Other Than Crosswalks.",1208.0,9.0,2.0,-79.9108728427252,40.45944023398032,45,45,1641.0,322.952008819
3155654,322729355,23158928,27,2023-10-06T04:09:00,"500 Block Lincoln Ave Pittsburgh, PA 15206",N,Larimer,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1204.0,9.0,2.0,-79.90975484508488,40.46106626704835,45,45,1641.0,322.952008819
3155787,323433079,23164540,3,2023-10-16T17:34:00,"7th Ave & Penn Ave Pittsburgh, PA 15208",Y,Larimer,5,ROBBERY,3701 Robbery. / 2706 Terroristic Threats.,1208.0,6.0,6.0,-80.00026267226441,40.44323848562526,45,45,1641.0,322.952008819
3156121,323338616,23163971,6,2023-10-15T15:20:00,"900 Block Freeport Rd Pittsburgh, PA 15238",N,Larimer,5,THEFT FROM AUTO,3934 Theft from Vehicle,1208.0,9.0,2.0,-79.89235294507522,40.48611850156562,45,45,1641.0,322.952008819
3156158,323829774,23168254,27,2023-10-20T11:15:00,"6400 Block Penn Ave Pittsburgh, PA 15206",N,Larimer,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1208.0,9.0,2.0,-79.91743506731456,40.45751349471281,45,45,1641.0,322.952008819
3156461,324701784,23167901,0,2023-10-22T13:57:00,"Meadow St & Paulson Ave Pittsburgh, PA 15206",Y,Larimer,5,99,1332 Display of Registration Plate.,1204.0,9.0,2.0,-79.91230508231523,40.46333525444826,45,45,1641.0,322.952008819
3156497,323322346,23163755,99,2023-10-15T03:40:00,"Enterprise Ter E & Frankstown Ave Pittsburgh, PA 15206",Y,Larimer,5,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,1208.0,9.0,2.0,-79.91379378185792,40.46043391074243,45,45,1641.0,322.952008819
3156548,323037916,23161248,0,2023-10-10T17:34:00,"400 Block Turrett St Pittsburgh, PA 15206",N,Larimer,5,99,9999 9999 - (Misc. Incident): ,1204.0,9.0,2.0,-79.9103961973115,40.4616391628569,45,45,1641.0,322.952008819
3156568,324032831,23169575,0,2023-10-25T13:00:00,"100 Block Shetland St Pittsburgh, PA 15206",N,Larimer,5,99,9999 9999 - (Misc. Incident): ,1204.0,9.0,2.0,-79.91217889868804,40.46618748762256,45,45,1641.0,322.952008819
3156618,324253929,23171966,18,2023-10-29T06:30:00,"5th Ave & Penn Ave Pittsburgh, PA 15208",Y,Larimer,5,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 9501 Bench Warrant,1208.0,9.0,3.0,-79.91242691219192,40.45404527057683,45,45,1641.0,322.952008819
3156726,324717434,23175561,18,2023-11-04T18:00:00,"600 Block Larimer Ave Pittsburgh, PA 15206",Y,Larimer,5,STOLEN PROPERTY,13(a)(32) Paraphernalia - Use or Possession / 4703 Operation of Vehicle without Official Certif. of Inspection / 1543 Driving While Operating Privilege is Suspended or Revoked. / 4706 Prohib. on Expend. for Emission Insp Prog..,1204.0,,,,,45,45,1641.0,322.952008819
