_id,id,type,street,inactive,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
1,1559483633,Crosswalk - Other,ELEVENTH ST,f,Central Business District,6,2,42003020100,6,2,2,2-3,40.44498866,-79.99388423
2,785965942,Crosswalk - Two Lined,PENN AVE,f,Strip District,7,2,42003020300,6,2,2,2-3,40.44571738,-79.99246535
3,2008474459,Crosswalk - Two Lined,MORNINGSIDE AVE,f,Morningside,7,10,42003101400,2,10,5,3-7,40.47957907,-79.93068529
4,1207933462,Crosswalk - Two Lined,TECH ST,f,Squirrel Hill North,8,14,42003140100,3,14,4,2-8,40.44052794,-79.94212631
5,905740180,Crosswalk - Two Lined,FREW ST,f,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.44046772,-79.94226718
6,768755224,Crosswalk - Two Lined,FORBES AVE,f,Squirrel Hill North,8,14,42003140100,3,14,4,2-26,40.4438525,-79.93902751
7,1308677189,Crosswalk - Two Lined,BEELER ST,f,Squirrel Hill North,8,14,42003140100,3,14,4,2-26,40.44396477,-79.93867345
8,1159710354,Crosswalk - Two Lined,BEELER ST,f,Squirrel Hill North,8,14,42003140100,3,14,4,2-26,40.44563247,-79.93134164
9,216672403,Crosswalk - Continental,FORBES AVE,f,Squirrel Hill North,8,14,42003140100,3,14,4,2-9,40.44458328,-79.94555735
10,356629441,Crosswalk - Continental,FIFTH AVE,f,Shadyside,8,14,42003140100,2,14,4,2-26,40.44742668,-79.94254791
11,1663611177,Crosswalk - Continental,FIFTH AVE,f,Shadyside,8,14,42003140100,2,14,4,2-26,40.44743791,-79.94234942
12,2022017361,Crosswalk - Continental,FIFTH AVE,f,Shadyside,8,14,42003070900,2,14,4,2-26,40.44769305,-79.93895509
13,952942741,Crosswalk - Continental,FIFTH AVE,f,Squirrel Hill North,8,14,42003140100,3,14,4,2-26,40.44769612,-79.93878611
14,227600497,Crosswalk - Two Lined,BIGELOW BLVD,f,Polish Hill,7,6,42003060500,3,6,2,2-24,40.45575846,-79.96583004
15,1156881128,Crosswalk - Continental,FIFTH AVE,f,Shadyside,8,14,42003070300,2,14,4,2-17,40.44784307,-79.93694343
16,1352130874,Crosswalk - Two Lined,ELLSWORTH AVE,f,Shadyside,8,7,42003070900,2,7,4,3-22,40.45088025,-79.94311386
17,44237326,Crosswalk - Two Lined,ELLSWORTH AVE,f,Shadyside,8,7,42003070900,2,7,4,3-22,40.45090576,-79.94296902
18,1379881527,Crosswalk - Two Lined,BAYARD ST,f,Shadyside,8,7,42003070900,2,7,4,3-22,40.45179973,-79.9434384
19,1158049185,Crosswalk - Two Lined,BAYARD ST,f,Shadyside,8,7,42003070900,2,7,4,3-22,40.45183384,-79.94328382
20,1041100601,Crosswalk - Ladder,BAYARD ST,f,Shadyside,8,7,42003070900,2,7,4,3-22,40.45217673,-79.94152965
21,1094831353,Crosswalk - Continental,BAYARD ST,f,Shadyside,8,7,42003070900,2,7,4,2-9,40.45043368,-79.94866567
22,238531818,Crosswalk - Continental,BAYARD ST,f,North Oakland,8,4,42003562000,3,4,4,2-9,40.4503796,-79.94882928
23,470865106,Crosswalk - Two Lined,BAYARD ST,f,North Oakland,8,4,42003040400,3,4,4,2-9,40.44982952,-79.95063843
24,291631008,Crosswalk - Two Lined,BAYARD ST,f,North Oakland,8,4,42003562000,3,4,4,2-9,40.44975399,-79.95081814
25,1322767800,Crosswalk - Ladder,HERRON AVE,f,Polish Hill,7,6,42003060500,6,6,2,2-6,40.45803505,-79.96398736
26,267425315,Crosswalk - Two Lined,BAYARD ST,f,North Oakland,8,4,42003040400,3,4,4,2-7,40.44842523,-79.95264339
27,336034396,Crosswalk - Two Lined,BAYARD ST,f,North Oakland,8,4,42003982200,3,4,4,2-7,40.44828542,-79.95283114
28,897109038,Crosswalk - Continental,BAYARD ST,f,North Oakland,8,4,42003982200,3,4,4,2-7,40.44768323,-79.95366677
29,2056324951,Crosswalk - Continental,BAYARD ST,f,North Oakland,8,4,42003982200,3,4,4,2-7,40.44749749,-79.95390011
30,507894098,Crosswalk - Continental,BAYARD ST,f,North Oakland,8,4,42003982200,3,4,4,2-7,40.44683308,-79.95481877
31,1601381841,Crosswalk - Continental,BAYARD ST,f,North Oakland,8,4,42003562000,3,4,4,2-7,40.44628707,-79.95559929
32,1613923849,Crosswalk - Continental,BAYARD ST,f,North Oakland,8,4,42003562000,3,4,4,2-7,40.44577677,-79.95630874
33,798095367,Crosswalk - Continental,O HARA ST,f,North Oakland,8,4,42003982200,3,4,4,2-7,40.4456696,-79.95645357
34,382494795,Crosswalk - Continental,O HARA ST,f,North Oakland,8,4,42003982200,3,4,4,2-7,40.44501845,-79.95733334
35,2058447103,Crosswalk - Continental,O HARA ST,f,North Oakland,8,4,42003982200,3,4,4,2-7,40.44447956,-79.95810045
36,2041200753,Crosswalk - Ladder,HERRON AVE,f,Polish Hill,7,6,42003060500,6,6,2,2-6,40.45841363,-79.9653231
37,204752709,Crosswalk - Continental,O HARA ST,f,North Oakland,8,4,42003040200,3,4,4,2-7,40.4435365,-79.95939462
38,347459227,Crosswalk - Two Lined,O HARA ST,f,North Oakland,8,4,42003040200,3,4,4,2-14,40.44322928,-79.95982511
39,1064776045,Crosswalk - Two Lined,DE SOTO ST,f,West Oakland,8,4,42003040200,3,4,4,2-14,40.44319458,-79.95995386
40,1898251423,Crosswalk - Two Lined,DE SOTO ST,f,West Oakland,8,4,42003040200,3,4,4,2-14,40.44311803,-79.95981522
41,1056168059,Crosswalk - Continental,DE SOTO ST,f,West Oakland,8,4,42003040200,3,4,4,2-14,40.44228875,-79.95799534
42,1004880443,Crosswalk - Two Lined,DE SOTO ST,f,North Oakland,8,4,42003982200,3,4,4,2-10,40.44320326,-79.96158011
43,828597553,Crosswalk - Two Lined,SUTHERLAND DR,f,North Oakland,8,4,42003040200,3,4,4,2-10,40.442845,-79.96210851
44,1258676059,Crosswalk - Two Lined,TERRACE ST,f,West Oakland,8,4,42003040200,3,4,4,2-10,40.44201113,-79.96276967
45,1473728111,Crosswalk - Two Lined,TERRACE ST,f,West Oakland,6,4,42003040200,3,4,4,2-10,40.44192999,-79.96290513
46,1656653061,Crosswalk - Two Lined,TERRACE ST,f,West Oakland,8,4,42003040200,3,4,4,2-10,40.44263505,-79.96211656
47,1713480932,Crosswalk - Ladder,HERRON AVE,f,Polish Hill,7,6,42003060500,6,6,2,2-6,40.45882282,-79.96574421
48,1477487939,Crosswalk - Ladder,TERRACE ST,f,West Oakland,6,4,42003040200,3,4,4,2-10,40.44103464,-79.96381037
49,1053566660,Crosswalk - Two Lined,DARRAGH ST,f,West Oakland,8,4,42003040200,3,4,4,2-10,40.44193296,-79.96277492
50,2104963830,Crosswalk - Two Lined,DARRAGH ST,f,West Oakland,8,4,42003040200,3,4,4,2-10,40.44202278,-79.96290903
51,1093560297,Crosswalk - Two Lined,DARRAGH ST,f,West Oakland,8,4,42003040200,3,4,4,2-14,40.44119196,-79.9613527
52,1021214763,Crosswalk - Two Lined,TERRACE ST,f,West Oakland,8,4,42003040200,3,4,4,2-10,40.44271376,-79.96206482
53,1062338910,Crosswalk - Two Lined,TERRACE ST,f,West Oakland,8,4,42003040200,3,4,4,2-10,40.44249841,-79.96221905
54,320155684,Crosswalk - Two Lined,LOTHROP ST,f,West Oakland,8,4,42003040200,3,4,4,2-10,40.44251232,-79.96205543
55,541066541,Crosswalk - Two Lined,SUTHERLAND DR,f,West Oakland,8,4,42003040200,3,4,4,2-10,40.44455973,-79.96331559
56,723970879,Crosswalk - Continental,MEYRAN AVE,f,Central Oakland,3,4,42003040500,3,4,4,2-14,40.44053834,-79.9582717
57,1271161906,Crosswalk - Continental,MEYRAN AVE,f,Central Oakland,3,4,42003040500,3,4,4,2-14,40.44064857,-79.9584058
58,197519790,Crosswalk - Two Lined,HARMAR ST,f,Polish Hill,7,6,42003060500,6,6,2,2-6,40.45695442,-79.96727307
59,840285830,Crosswalk - Continental,FORBES AVE,f,Central Oakland,3,4,42003040500,3,4,4,2-14,40.4415284,-79.95704056
60,2092307432,Crosswalk - Continental,FORBES AVE,f,Central Oakland,3,4,42003040500,3,4,4,2-14,40.4416223,-79.95690377
61,1504742729,Crosswalk - Continental,FORBES AVE,f,Central Oakland,3,4,42003040500,3,4,4,2-14,40.44190707,-79.95649205
62,1045593374,Crosswalk - Continental,FORBES AVE,f,Central Oakland,3,4,42003040500,3,4,4,2-14,40.44199178,-79.95635391
63,571454052,Crosswalk - Continental,S BOUQUET ST,f,North Oakland,3,4,42003982200,3,4,4,2-14,40.4419928,-79.95649071
64,79361758,Crosswalk - Continental,S BOUQUET ST,f,Central Oakland,3,4,42003040500,3,4,4,2-14,40.44191013,-79.95637269
65,249146970,Crosswalk - Continental,S BOUQUET ST,f,Central Oakland,8,4,42003040500,3,4,4,2-14,40.44246435,-79.9573517
66,1770435591,Crosswalk - Two Lined,N BOUQUET ST,f,West Oakland,8,4,42003040200,3,4,4,2-14,40.44257866,-79.95755421
67,196500219,Crosswalk - Two Lined,S BOUQUET ST,f,Central Oakland,3,4,42003040500,3,4,4,2-14,40.44144266,-79.95549293
68,1368596678,Crosswalk - Two Lined,S BOUQUET ST,f,Central Oakland,3,4,42003040500,3,4,4,2-14,40.44047812,-79.95376022
69,37380475,Crosswalk - Two Lined,DOBSON ST,f,Polish Hill,7,6,42003060500,6,6,2,2-6,40.45687687,-79.96730526
70,2016003105,Crosswalk - Two Lined,S BOUQUET ST,f,Central Oakland,3,4,42003040500,3,4,4,2-11,40.43973404,-79.95241376
71,2061935067,Crosswalk - Two Lined,S BOUQUET ST,f,Central Oakland,3,4,42003040600,3,4,4,2-11,40.43965442,-79.95229161
72,966808909,Crosswalk - Continental,OAKLAND AVE,f,Central Oakland,3,4,42003040500,3,4,4,2-14,40.44161209,-79.95703643
73,1832470307,Crosswalk - Continental,OAKLAND AVE,f,Central Oakland,3,4,42003040500,3,4,4,2-14,40.44151512,-79.95691038
74,1959270635,Crosswalk - Continental,OAKLAND AVE,f,Central Oakland,8,4,42003040500,3,4,4,2-14,40.44218163,-79.95771235
75,794916616,Crosswalk - Two Lined,N EUCLID AVE,f,East Liberty,9,11,42003111500,2,11,5,3-8,40.46356517,-79.92720843
76,7802020,Crosswalk - Two Lined,ASHLEY ST,f,East Liberty,9,11,42003111500,2,11,5,3-8,40.46345388,-79.92714118
77,527197165,Crosswalk - Two Lined,BAUM BLVD,f,Shadyside,7,8,42003070900,2,8,4,3-1,40.45544075,-79.94365708
78,1033898077,Crosswalk - Two Lined,BAUM BLVD,f,Bloomfield,7,8,42003080400,2,8,5,3-1,40.45548362,-79.94380728
79,572300595,Crosswalk - Continental,BIGELOW BLVD,f,North Oakland,8,4,42003562000,3,4,4,2-7,40.44767868,-79.95382533
80,1850430134,Crosswalk - Ladder,DOBSON ST,f,Polish Hill,7,6,42003060500,6,6,2,2-6,40.4567136,-79.96754129
81,136051863,Crosswalk - Continental,TENNYSON AVE,f,North Oakland,8,4,42003562000,3,4,4,2-7,40.44692855,-79.95484993
82,1153523265,Crosswalk - Continental,TENNYSON AVE,f,North Oakland,8,4,42003982200,3,4,4,2-7,40.44683772,-79.95471448
83,774324611,Crosswalk - Continental,TENNYSON AVE,f,North Oakland,8,4,42003982200,3,4,4,2-7,40.44565995,-79.95326877
84,833387452,Crosswalk - Continental,FIFTH AVE,f,North Oakland,8,4,42003982200,3,4,4,2-7,40.44567015,-79.95310382
85,526737735,Crosswalk - Continental,FIFTH AVE,f,North Oakland,8,4,42003982200,3,4,4,2-7,40.44509759,-79.95385349
86,1546979962,Crosswalk - Continental,FIFTH AVE,f,North Oakland,8,4,42003982200,3,4,4,2-7,40.44450842,-79.95466429
87,757292459,Crosswalk - Continental,FIFTH AVE,f,North Oakland,8,4,42003982200,3,4,4,2-7,40.44436731,-79.95490563
